blood_bank_name,state,district,city,address,mobile,category,latitude,longitude
Lilavati Hospital and Research Centre Blood Bank,Maharashtra,MUMBAI,Mumbai,"A 791, Bandra Reclamation, Bandra (W), Mumbai",9869522828,Charity,19.051089,72.828889
Lokmanya Tilak Municipal Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"O. P. D. Building, 1st Floor, Sion (W), Mumbai",9892245254,Government,19.036984,72.859049
M. T. Agarwal Municipal General Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Dr. R. P. Road, Mulund (W), Mumbai",0986968585,Government,19.177861,72.946234
Mahatma Gandhi Seva Mandir Blood Bank,Maharashtra,MUMBAI,Mumbai,"Mahatma Gandhi Seva Mandir Hospital, 2nd Floor, Opposite to Bandra Lake, S. V. Road, Bandra (W), Mumbai",9876543210,Charity,19.055801,72.836932
Manas Serological Institute Blood Bank,Maharashtra,MUMBAI,Mumbai,"CTS NO-167 / 168 / A1, 101-104, Grace Plaza, S. V. Road, Near Railway Phatak, Jogeshwari (W), Mumbai",9833832271,Charity,19.13522,72.848108
Masina Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Sant Savta Marg, Byculla (E)",8879231091,Charity,18.974886,72.835711
N.  Wadia Maternity  Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Acharya Donde Marg, Parel, Mumbai",9004362229,Charity,19.003238,72.842837
Matoshri Valbai Mulji Shah - Arpan Blood Bank,Maharashtra,MUMBAI,Mumbai,"Aniraj Tower,  Janta Market, L.B.S Marg, Bhandup (W), Mumbai",9423696022,Charity,19.142653,72.933304
Navjivan Blood Bank and Lab,Maharashtra,MUMBAI,Mumbai,"Shop No.1, Abhilasha II, Punjabi Lane Borivali (W)",9820040536,Private,19.23024,72.852643
P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,Maharashtra,MUMBAI,Mumbai,"Veer Savarkar Road, Mahim (W), Mumbai",9820606355,Charity,19.033615,72.838105
Meenatai Thackeray Blood Bank - Siddharth Hospital,Maharashtra,MUMBAI,Mumbai,"Siddharth Nagar, Prabhodhan Kridabhawan Marg,Goregaon (W)",9320918214,Charity,19.159649,72.840284
Prince Aly Khan Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Aga Hall, Nesbit Road, Mazgaon, Mumbai",9821035341,Charity,18.97084,72.836617
Dr. R. N. Cooper General Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"North south Road No-1, Juhu, Vile-Parle (W) Mumbai",9987063770,Government,19.107714,72.835618
Rajawadi Blood Bank - Seth V. C. Gandhi  M. A. Vora Municipal General Hospital,Maharashtra,MUMBAI,Mumbai,"Seth V. C. Gandhi and M. A. Vora M, Rajawadi, Ghatkopar-(E), Mumbai",9892784878,Government,19.079304,72.901693
S. L. Raheja Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Mahim, Raheja Rugnalaya Marg, Mumbai",9821241031,Charity,19.046572,72.842207
S. R. Mehta and Sir. K.P. Cardiac Institute Blood Bank,Maharashtra,MUMBAI,Mumbai,"Plot No. 96, Road No.31, King Circle Sion, (E) Mumbai",9987020981,Charity,19.032412,72.85958
Saifee Hospital Trust Blood Bank,Maharashtra,MUMBAI,Mumbai,"15/17, Maharishi Karve Marg, Opposite to Charni Road Station Mumbai",9869784307,Charity,18.952471,72.818058
Sarvodaya Hospital Samarpan Blood Bank,Maharashtra,MUMBAI,Mumbai,"Office Building, 2nd Floor, Sarvodaya Hospital, LBS  Marg, Ghatkopar (W), Mumbai",9594032520,Charity,19.089801,72.907187
Seven Hills Health Care Private Limited Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Blood Bank, 2nd Floor, Block-16, Seven Hills Hospital,  Survey No.155, 156, 162 - 168 Part, Marol - Maroshi Road,  Andheri (E), Mumbai",9820339204,Private,19.117797,72.87809
Shushrusha Citizens Co-operative Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"698-B Ranade Road, Dadar, Mumbai",9022240366,Charity,19.023426,72.837899
Sir J.J.Group of Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Main Building, Ground Floor, Sir J. J. Hospital, Byculla, Mumbai",9322106373,Government,18.962909,72.833639
Sir J.J.Mahanagar Rakthapedhi,Maharashtra,MUMBAI,Mumbai,"Sir J.J Mahanagar Raktapedhi, F. D. Petit Building, J.J.Campus, J. J. Road, Byculla, Mumbai",8275001905,Charity,18.963334,72.832489
Saint George39s Hospital  Regional  Blood Bank,Maharashtra,MUMBAI,Mumbai,"Saint George39s Hospital, Behind General Post Office, P. D39Mello Road, Fort, Mumbai",9867993451,Government,18.94027,72.837319
Tata Memorial Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"5th Floor, Service Block, Dr. E. Borges Road, Parel, Mumbai",9820340073,Government,19.004856,72.842945
The B.D. Petit Parsee General Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"B.Petit Road, Cumballa Hill,  Mumbai",9323570506,Charity,18.968704,72.805743
V. N. Desai Municipal General Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"T. P. S. II, 11th Road, Santacruz (E) Mumbai",9820618132,Government,19.078822,72.844994
West Coast Blood Bank,Maharashtra,MUMBAI,Mumbai,"Basement 101, Moon Building, 798, Mori Road, Mahim(W), Mumbai",9820721197,Private,19.042954,72.84073
Government Medical College Blood Bank Nagpur,Maharashtra,NAGPUR,Nagpur,"Model Blood Bank, 2nd Floor, Hospital Building, Government Medical College  Hospital, Nagpur",9822941695,Government,21.126097,79.097101
Super Speciality Hospital and Medical Post Graduate Institute Blood Bank,Maharashtra,NAGPUR,Nagpur,"Maenad Road, Near RST Cancer Hospital, Nagpur",8275531628,Government,21.123952,79.102367
Indira Gandhi Medical College and Hospital Blood Bank,Maharashtra,NAGPUR,Nagpur,"IGMC Hospital, Central Avenue Road, Nagpur",7709884278,Government,21.153917,79.092894
Daga Memorial Women Government Hospital Blood Bank,Maharashtra,NAGPUR,Nagpur,"Gandhibag, Nagpur",9422762492,Government,21.151511,79.105434
Central India Institute of Haematology  Oncology39s Blood  Blood Component Bank and Apheresis Unit,Maharashtra,NAGPUR,Nagpur,"Plot No-14/2, Park Corner, Bal Raj Marg, Near Loma Square, Dhantoli, Nagpur",9822723264,Private,21.134731,79.080223
Jeevan Jyoti Blood Bank and Component,Maharashtra,NAGPUR,Nagpur,"J P Chamber, Madhav Nagar, Dakshin Ambakshari Road  Nagpur",9422113811,Charity,21.123051,79.057149
Dr. Hegdewar Blood Bank,Maharashtra,NAGPUR,Nagpur,"2, Sitaram Smruti, West High Court Road, Laxmibhuvan Square, Audumbar Apartment, Dharmpeth, Nagpur",9922407171,Charity,21.140579,79.060505
Sainath Blood Bank,Maharashtra,NAGPUR,Nagpur,"531,Jaiswal Building, Above R.K. Traders, Old shukrawari Road, Sakkardara Nagpur",9422502066,Charity,21.134294,79.076369
Ayush Blood Bank and component Lab,Maharashtra,NAGPUR,Nagpur,"9th Floor, A wing, 901-905, 910-912, Lokmat Building, Nagpur",9823051508,Charity,21.135231,79.072978
Lifeline Blood Bank Components and Apherisis Centre Blood Bank,Maharashtra,NAGPUR,Nagpur,"Neeti Gaurav complex , 2nd Floor, Central Bazar Road, Lokmat Square, Ramdaspeth, Nagpur",9552556425,Charity,21.138999,79.063093
Rainbow Blood Bank,Maharashtra,NAGPUR,Nagpur,"3rd Floor, 282, Rainbow Diagnostic Services Central Bazar Road, Ramdas Peth, Nagpur",9975844830,Charity,21.133584,79.072736
"NKP Salve Institute of Medical Science and Research Center (Lata Mangeshkar Hospital), Blood Bank",Maharashtra,NAGPUR,Nagpur,"5, YMCA Complex, Digdoh Hills, Hingna Road, Nagpur",9850448905,Charity,21.144346,79.078848
Dr. Shankarrao Chavan Government Medical College and Guru Govindsinghji Memorial Hospital Blood Bank,Maharashtra,NANDED,Nanded,"Vazirabad, Nanded",0989017270,Government,19.109305,77.29295
Indian Red Cross Society Blood Bank,Maharashtra,NANDED,Nanded,"Parsi Anjuman Complex, Vazirabad, Nanded",9850947545,Charity,17.399811,78.485456
Golvalkar Guruji Blood Bank,Maharashtra,NANDED,Nanded,"Plot No.2-12-407, Bandhaghat Road, Vazirabad, Nanded",9822589088,Charity,19.168646,77.326553
Arpan Blood Bank,Maharashtra,NANDED,Nanded,"2nd Floor, Dayma Complex, Doctor Lane, Ghamodia,Nanded",9881907646,Charity,19.161084,77.303022
Guru Gobindsinghji Blood Bank,Maharashtra,NANDED,Nanded,"Geeta Bhavan 1  2 Floor, House No 3-1-366, Near Government, Opposite to Ayurvedic College, Bus Stand Road, Vazirabad, Nanded",9145432520,Charity,19.156029,77.309
Nanded Blood Bank,Maharashtra,NANDED,Nanded,"Shivaji Nagar ,Opposite to Adhar Hospital, Nanded",9422382810,Charity,19.161264,77.304543
Hazur Saheb Blood Bank,Maharashtra,NANDED,Nanded,"2nd Floor, Opposite to Bank of India, Sant Kripa Market, GG Road, Nanded",0968910000,Charity,19.153093,77.318654
Civil Surgeon - District General Hospital Blood Bank,Maharashtra,NANDURBAR,Nandurbar,"Nandurbar, Railway Station Road Survey No.406, Civil Hospital Compound,  Sakri Road, Near Collector Office Nandurbar",0986040810,Government,21.33867,74.234768
Sahada Blood Bank - Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha,Maharashtra,NANDURBAR,Nandurbar,"C/o. 1st Floor, Shushrut Hospital, Khetiya Road, Survey No. 67/3, Plot No. 3, Sahada, Nandurbar",9371855918,Charity,21.554798,74.472874
Jankalyan Rakta Pedhi,Maharashtra,NANDURBAR,Nandurbar,"Nandurbar,1st Floor, Vivekanand Hospital, Desaipura, Nandurbar",9096175855,Charity,21.36433536,74.24463853
Malegaon Blood Bank,Maharashtra,NASHIK,Malegaon,"2nd Floor, West End Complex, Satana Naka, Malegaon",9371550550,Charity,20.55474,74.524396
Seva Blood Bank,Maharashtra,NASHIK,MALEGAON,"Nilkanth Building, Satana Naka, Satana Road, Malegaon, Nashik",0982396755,Charity,20.552689,74.516643
Roachabai Sugnomal Manwani - Cantonment General Hospital Blood Bank,Maharashtra,NASHIK,Nashik,"Vadner Road, Devlali, Nashik",0985053678,Government,19.903354,73.825824
Metro Blood Bank - District (Civil) Hospital Nashik,Maharashtra,NASHIK,Nashik,"District - Civil Hospital Blood Bank, Near Thakkar Bazaar,  Trimbak Naka, Nashik",9850536784,Government,19.996886,73.778198
Sainik Aspatal Military Hospital Blood Bank,Maharashtra,NASHIK,Nashik,"Sainik Aspatal, Military Hospital, Deolali",9545355252,Government,19.9483203,73.841866
Ansar Blood Bank,Maharashtra,NASHIK,Nashik,"1398/1, Islampura, Industrial Society Compound, Quidwai Road, Malegaon, Nasik",9890353737,Charity,20.552043,74.532641
Arpan Blood Bank and Blood Component Laboratory and Research Centre,Maharashtra,NASHIK,Nashik,"1st Floor, Office No.102/103, Dr. Athawale Chambers, Opposite to Gavkari Press Tilak Path, Nashik",0982232434,Charity,20.004874,73.787164
Jankalyan Blood Bank,Maharashtra,NASHIK,Nashik,"3, Shree Nagar, Old Gangapur Naka, Gangapur Road, Nashik",9823114809,Charity,20.008838,73.7702
NDMVPS Medical College and Hospital Blood Bank,Maharashtra,NASHIK,Nashik,At Post Adgaon Dist Nashik,9422237694,Charity,20.037363,73.852998
Samta Blood Bank,Maharashtra,NASHIK,Nashik,"F-1, 1st Floor Suyojit Comercial Complex, Mumbai Agra Highway, Below Data Mastics, Mumbai Naka, Nashik",9975997867,Charity,19.984791,73.782607
Sanjeevani Blood Bank,Maharashtra,NASHIK,Nashik,"Nashik, Krushna-Chaya Bangla, Plot No. 10/11, Kurdukar Nagar, Behind Fame Theatre, Nashik Pune Road, Nashik",0973073388,Charity,19.975586,73.803963
Jijau Mahila Sevabhavi Sansthan Nashik Blood Bank and Transfusion Research institute Blood Bank,Maharashtra,NASHIK,Nashik,"Ishwar Krupa Ganesh Nagar, Tidke Colony, Nashik",9890609318,Charity,19.990656,73.775241
The Santajee Educational and Medical foundation Trust - Jeevan  Blood Bank,Maharashtra,NASHIK,Nashik,"Suyojit City Center, G-11, 12, 13, S. No. 567/1/1  567/1/3 (CTS No. 7249  FP No. 60) Mumbai Naka, Near Mahamarg Bus Stand, Nashik",9876543210,Charity,19.987781,73.784138
SMBT Institute of Medical Science and Research Centre - Blood Bank and Component,Maharashtra,NASHIK,Nashik,"SMBT Institute of Medical Science  Research Centre, Blood Bank  Component,  Block-101, Ground Floor, A Wing, New SMBT Hospital Building, Survey No. 470, Nandihills Appt., At Post-Dhamangaon, Ghoti, Igatpuri, Nashik",9011067101,Charity,19.76062,73.769851
Hindustan Aeronautics Limited Blood Bank,Maharashtra,NASHIK,Nashik,"HAL, Aircraft Division, HAL, In Front of GES HAL High School, Ojhar Township, Niphad, Nashik",9420592940,Government,20.105897,73.931932
J.D.C. Bytco Hospital Blood Bank,Maharashtra,NASHIK,Nashik,"1st Floor, Bytco Hospital, Nashik Road, Behind Durga Garden, Shahu Path, Nashik",9876543210,Government,19.949132,73.838742
Shri Krishna Blood Bank,Maharashtra,OSMANABAD,Omerga,"Dr. Patange Hospital Building, Ajay Nagar Omerga, Omerga,  Osmanabad",9422069904,Charity,17.83503,76.622149
"Civil Surgeon, General Hospital Blood Bank",Maharashtra,OSMANABAD,Osmanabad,"Civil Hospital Osmanabad, Tqand, Osmanabad",9876543210,Government,18.18077,76.034735
Civil Surgeon - District General Hospital Blood Bank,Maharashtra,PARBHANI,Parbhani,"Blood Bank Civil Surgeon, District General Hospital Blood Bank, Subhash Road, Parbhani",9422176541,Government,19.271699,76.765032
Kanthak Sevabhavi Sanstha - New Life Blood  Bank,Maharashtra,PARBHANI,Parbhani,"Plot No 22, Survey No 389 and 394, Beside Gurudwara, Station Road, Parbhani",0982309323,Charity,19.273124,76.782625
Indian Red Cross Society Blood Bank,Maharashtra,PUNE,Baramati,"Indian Red Cross Society (IRCS), (Late Manikbai Chandulal Saraf) Blood Bank, Near Government Silver Jubilee Hospital, Patas Road, Baramati, Pune",9850033891,Charity,18.152597,74.574996
Pune Chest and General Hospital Blood Bank,Maharashtra,PUNE,Pune,"Aundh Cest Hospital, Aundh Camp, Pune",0942278017,Government,18.575032,73.80537
Sasoon Sarvopchar Hospital Blood Bank,Maharashtra,PUNE,Pune,"Ground Floor, Section 5, Opposite to Central Medical Stores, Station Road, Pune",9423575986,Government,18.515846,73.858714
Armed Forces Blood Bank,Maharashtra,PUNE,Pune,"Vanwadi Armed Force Medical College, Pune",0985026924,Government,18.505159,73.889694
Jankalyan Raktapedhi Pune,Maharashtra,PUNE,Pune,"1003, Shukrawar Peth, Swargate - Saras Baugh Road, Near Natraj Hotel, Pune",0942306662,Charity,18.50092,73.857531
Inlaks Budharani Hospital Blood Bank,Maharashtra,PUNE,Pune,"7-9, Koregaon Park, Pune",9373510112,Charity,18.534391,73.887409
Indian Serological Institute Blood Bank,Maharashtra,PUNE,Pune,"21, Anand Baugh, Navi Peth, Near Vaikunth, Pune",0909603902,Charity,18.506291,73.84264
Acharya Anandrushiji Blood Bank,Maharashtra,PUNE,Pune,"191-192, New Sadashiv Peth, S. M. Joshi Foundation Building, Near Patrakar Bhavan, Pune",0976418419,Charity,18.508647,73.844846
Akshay Blood Bank,Maharashtra,PUNE,Pune,"Survey No.10/1/3, Unnati Nagar, Bantar High School, Hadapsar, Pune",9890244339,Charity,18.47143,73.959674
Garware Blood Bank - Talegaon Rural Hospital,Maharashtra,PUNE,Pune,"Talegaon Dhabhade, Maval, Pune",0942208075,Charity,18.735319,73.675984
Jehangir Hospital Blood Bank,Maharashtra,PUNE,Pune,"32, Sasoon Road, Pune",8888821087,Charity,18.530392,73.876808
KEM Hospital Blood Bank,Maharashtra,PUNE,Pune,"Sardar Moodliar Road, Rastha Peth, Pune",9876543210,Charity,18.519784,73.866906
Grant Medical Foundation A.H. Wadia Trust Blood Bank,Maharashtra,PUNE,Pune,"40, Sassoon Road, Ruby Hall Clinic, Post Box No. 70, Pune",9890148566,Charity,18.533369,73.876939
Bharati Vidyapeeth Medical Foundation Blood Bank,Maharashtra,PUNE,Pune,"Sector - 28, Dhankawadi, Pune Satara Road, Pune",9420320999,Charity,18.459914,73.855994
Padmashree Dr. D.Y. Patil (Vishweshwar) Blood Bank,Maharashtra,PUNE,Pune,"Padmashree, Dr. D. Y. Patil Medical College Hospital, Sant Tukaram Nagar, Pimpari, Pune",9561792418,Charity,18.624175,73.82126
Deenanath Mangeshkar Hospital Blood Bank,Maharashtra,PUNE,Pune,"Erandawane, Near Mhatre Bridge, Pune",9822545665,Charity,18.502108,73.832232
Poona Serological Institute Blood Bank,Maharashtra,PUNE,Pune,"C.T.S. No. 592, 3rd Floor, Dhanwantari Complex, Rasta Peth, Pune",0982225296,Charity,18.516656,73.866532
Sahiyadari Speciality Hospital Blood Bank,Maharashtra,PUNE,Pune,"Kokoan Mitra Mandal Medical Port Trust39s Sahiyadari Speciality Hospital Blood Bank, Plot No-30 C, Erandvane, Karve Road, Pune",9850540682,Charity,18.513091,73.839308
Aditya Birla Memorial Hospital Blood Bank,Maharashtra,PUNE,Pune,"Survey No31, Near Morya Mangal Karyalay, Thergaon, Chinchwad, Pune",9011352331,Charity,18.625716,73.774775
Rakesh Jain Memorial Blood Bank,Maharashtra,PUNE,Pune,"Poona Hospital and Reserch Centre 27, Sadashiv Peth, Pune",9689947454,Charity,18.510752,73.842158
Noble Hospital Blood Bank,Maharashtra,PUNE,Pune,"B-007, Basement C/o. Noble Hospital, 153 Magarpatta City Road, Hadapsar, Pune",9423581029,Charity,18.505035,73.927256
Smt Kashibai Navale General Hospital Blood Bank,Maharashtra,PUNE,Pune,"Sr. No. 50/15 building NO.5 2nd Floor, Narhe, Ambegaon, Pune",9370146779,Charity,18.45624,73.822183
Pimpari Serological Institute Blood Bank,Maharashtra,PUNE,Pune,"Esteem Tower, opposite K.S.B. Pump, Pune-Mumbai Highway, Kharalwadi, Pimpari",9876543210,Charity,18.624322,73.807929
Chakan Blood Bank,Maharashtra,PUNE,Pune,"Sr. No. 4976/1/2 Gate No. 2401, Yashwantnagar Ambethan Road. A/P Chakan, Khed, Pune",9822524260,Charity,18.762296,73.860866
R.G Gholap Memorial Blood Bank,Maharashtra,PUNE,Pune,"Office No. 301, 3rd Floor Ashoka Centre, S. No - 47/14, Satara Road, Parvati, Pune",9822442140,Charity,18.487158,73.857098
Kranti Mitra Mandal Charitable Trust Blood Bank,Maharashtra,PUNE,Pune,"1st Floor PMT Buiding Gadital, Hadapsar, Pune",9960771438,Charity,18.501083,73.939062
Krantiveer Chapekar Bandhu Blood Bank,Maharashtra,PUNE,Pune,"Pimpri Chinchwad Mahanagar Palika Talera Hospital, Tanaji Nagar Chinchwad, Pune",9922501583,Charity,18.625689,73.784672
The New Century Medical  Education Foundation Trust - NCORD Blood Bank  Aphaeresis Centre,Maharashtra,PUNE,Pune,"NCORD Blood Bank and Aphaeresis centre, S. No. 241/2/1, Geet Ganga Building, Medipoint Hospital Lane, Baner, Pune",9822502812,Charity,18.56475,73.800994
Ekta Apang Vikas Sanstha Blood Bank,Maharashtra,PUNE,Pune,"Office No. 17/18/19, 1st Floor, Sunshree Woods Commercial Complex, NIBM, Kondhwa, Haveli, Pune",9822009268,Charity,18.477273,73.90302
Chattrapati Shahu Maharaj Pratisthan,Maharashtra,PUNE,Pune,"S.No. 30, 4th floor, office no. 41, 402, 403, and 5th floor off 502, waris Heights, Pune-Satara Road, Dhankwadi, Pune",9890927792,Charity,18.466519,73.857679
Chattrapati Shahu Maharaj Pratisthan Blood Bank,Maharashtra,PUNE,Pune,"S. No. 30, 4th Floor, Office No. 41, 402, 403, and 5th Floor off 502, Waris Heights, Pune - Satara Road, Dhankwadi, Pune",9890927793,Charity,18.466161,73.857642
District Civil Surgeon Blood Bank,Maharashtra,RAIGAD,Alibag,"District Hospital Blood Bank, Civil Hospital Campus, Sea Face Road, Alibag",9881671533,Government,18.640782,72.871716
Kakasaheb Chitle Memorial Centre Sanchalit - Jankalyan Blood Bank,Maharashtra,RAIGAD,Mahad,"C.S. No. 1651, Near Lokmanya Vyayamshala, Shiwaji Chowk, Mahad, Raigad",9420047251,Charity,18.082736,73.42265
M.B. More Foundation Blood Bank,Maharashtra,RAIGAD,Mangaon,"Ghar. No. 412, 1st Floor, Mangaon, Morba Road, Opposite to Civil Hospital, Mangaon, Raigad",9421230000,Charity,19.067134,73.066397
Advanced Centre for Treatment Reasearch and Education in Cancer,Maharashtra,RAIGAD,Navi Mumbai,"Owe Village, Sector 22, Plot No. 2, Kharghar, Navi Mumbai",9594000503,Government,19.065019,73.064507
M/s. Navi Mumbai Blood Bank,Maharashtra,RAIGAD,Navi Mumbai,"Navi Mumbai Blood Bank, Vishwanath Bhavan, C-87, Sector 12, Kharghar, Navi Mumbai",0987065313,Charity,19.034045,73.029533
Shree Sai Blood Bank  Component,Maharashtra,RAIGAD,Panvel,"103,104,105,1st Floor Tirthraj Building, Old Thana Naka Road, Near Taluka Police Station,  Old Panvel, Raigad",9820344697,Charity,18.99397,73.106561
Rotary Club New Panvel charitable Trust s Late Dr. B.V. Limaye Blood Bank,Maharashtra,RAIGAD,Raigad,"Plot No-8, Sect.1, Khanda Colony, Mumbai Pune Road, New Panvel (W)",9870211554,Charity,19.008249,73.108321
Civil Surgeon - General Hospital Blood Bank,Maharashtra,RATNAGIRI,Ratnagiri,"Civil Hospital, Ratnagiri",7709268824,Government,16.989126,73.298866
Shree Swami Samarth Blood Bank,Maharashtra,RATNAGIRI,Ratnagiri,"B.K.L.Walwalkar Hospital Diagnostic  Research Centre, Shree Kshetra Darvan, Chiplun, Ratnagiri",9922728167,Charity,17.399914,73.547448
Indian Red Cross Society Blood Bank,Maharashtra,RATNAGIRI,Ratnagiri,"Khareghat Road, Ratnagiri",9730818228,Charity,17.019013,73.298977
Padmabhushan Vasantdada Patil Government Hospital Blood Bank,Maharashtra,SANGLI,Sangli,"Padmabhushan Vasantdada Patil Government Hospital , Blood Bank, Dr. Ambedkar Road, Sangli .",0901165410,Government,16.852571,74.574678
Rajaram Bapu Blood Bank,Maharashtra,SANGLI,Sangli,"Islampur C.S. No. 99/1, Near Islampur Spiral CT-Scan,Peth-Sangli Road",8275391940,Charity,17.048399,74.251122
Vasantdada Patil Blood Bank and Haematology Research Centre,Maharashtra,SANGLI,Sangli,"AIP - Miraj, Mirasaheb Shopping Complex,  Opposite to City Police Station, Miraj, Sangli",9422614033,Charity,16.82132,74.649492
Miraj Medical Centre - Wanless Hospital Blood Bank,Maharashtra,SANGLI,Sangli,"Wanless Hospital Blood Bank, Medical Centre, Miraj",9604542311,Charity,16.832135,74.645472
Jeevan Rekha Charitable Trust Blood Bank,Maharashtra,SANGLI,Sangli,"H. No. 329/E, Ward No. 5, 1st Floor, Umrani Road, A/p-jath, Sangli",9822112722,Charity,17.049271,75.204853
Smt. Anila Kantilal Kothari Blood Bank  Department of Hemato Oncology,Maharashtra,SANGLI,Sangli,"Dr. D. K. Gosavi Memorial, Shri Siddhivinayak Ganapati Cancer Hospital, Sangli - Miraj Road, Miraj",9876543210,Charity,16.833879,74.635364
Bharati Vidyapeeth University Medical college And Hospital Blood Bank,Maharashtra,SANGLI,Sangli,"A/p Wanlesswadi, Miraj",9876543210,Charity,16.841716,74.617969
Hindratna Prakashbapu Patil Blood Bank,Maharashtra,SANGLI,Sangli,"2nd Floor, Siddhivinayak Commercial Complex Guest House, Miraj Road, Near Tata Petrol Pump, Sangli",0703891597,Charity,16.8537,74.580099
Miraj Serological Institute Blood Bank,Maharashtra,SANGLI,Sangli,"S. No.795/A1, Dr. Bhalchandra Patil Hospital,  Zaribag Budhgaonkar Mala, Near Gulabrao Patil Medical College, Miraj",9420041490,Charity,16.828931,74.639399
Akshay Blood Bank,Maharashtra,SANGLI,Sangli,"Plot No. 1/7, Near Anand Nursing Home, 2nd Floor, Miraj Sangli Road,  Sangli",0940372353,Charity,16.838026,74.651827
Indian Red Cross Society Blood Bank - Shirgaonkar Blood Bank,Maharashtra,SANGLI,Sangli,"Opposite to Civil Hospital, Plot No. 49, City Survey No.601/7, Sangli",9422662066,Charity,16.853702,74.575077
Shree Basaveshwar Manav Vikas Gramin Sevabhavi Sanstha Blood Bank,Maharashtra,SANGLI,Sangli,"Arihant Galaxy, 1st Floor, C.S. NO- 1599, Opposite to Civil Hospital, Garpir Road, Sangli",0922581236,Charity,16.842421,74.619929
Azad Panchi Group Charitable Trust Blood Bank,Maharashtra,SANGLI,Sangli,"Near Civil Hospital, Ganesh Nagar, 1st Lane, S. No. 1682, Sangli",9423337545,Charity,16.844539,74.572891
S. S. Venutai Y. Chavan Sub-District Hospital Blood Bank Karad,Maharashtra,SATARA,Satara,"Plot No. 290/91, Budhwar Peth Station Road, Karad, Satara",9876543210,Government,17.288048,74.186177
Civil Surgeon - Sarva Samanya Hospital Blood Bank,Maharashtra,SATARA,Satara,"Bazar Road, Satara",0982211541,Government,17.691305,74.009424
Phaltan Medical Foundation Blood Bank,Maharashtra,SATARA,Satara,"C.T.S. No. 5604/6, Near Dnyaneshwar Mandir, Behind State Bank of India, Laxminagar, 1st Floor Phaltan, Satara",0992264290,Charity,17.992317,74.42537
Krishna Hospital and Medical Research Centre Blood Bank Karad,Maharashtra,SATARA,Satara,"Poona Bangalore (NH 4) Highway, Near Debhewadi Road, Karad, Satara",9420463203,Charity,17.285065,74.185701
Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,Maharashtra,SATARA,Satara,"Shree Chatrapati Shivaji Education Societys, Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,  Vita Road, Vidyagiri, Mayani, Satatra",9422463201,Private,17.431214,74.549364
M/s. K. N. Gujar Blood Bank,Maharashtra,SATARA,Satara,"M/s K.N. Gujar Blood Bank, F. P. No. 21, 203/A/6, 1st Floor, K.N. Gujar Hospital, Shanivar Peth, Near S.T. Bus Stand, Karad, Satara",9763999704,Charity,17.278263,74.183727
M/s. Balaji Blood Bank,Maharashtra,SATARA,Satara,"M/s. MA. NA. Shri R.R. (AABA) Patil Shikshan Sheti Sanshodhan Aani Vikas Sansthas  Balaji Blood Bank, C.S.No - 467/8 A 1b/45, Jaldhara Building 2nd Floor, Sadar Bazar, Satara - 415002",9860022646,Charity,17.695093,74.010716
Akshay Blood Bank,Maharashtra,SATARA,Satara,"Akshay Medical Trust, Akshay Blood Bank, 506/22, Sadar Bazar, Near State Bank, Opposite to Nirmal Hotel, Satara",9823165603,Charity,17.672028,74.021087
Mauli Blood Bank Satara,Maharashtra,SATARA,Satara,"529/b,  Parasnis Colony, Near Hotel Monark, Powai Naka Sadar Bazar, Satara",9975639723,Private,17.686084,74.007955
Yashwantrao Chavan Blood Bank,Maharashtra,SATARA,Satara,"Phase 5, Super Market, 1st Floor Hall No. 2/1 Final Plot No. 432,433, Shaniwar Peth, Karad",7028492699,Charity,17.275751,74.18181
Civil Surgeon - General Hospital Blood Bank,Maharashtra,SINDHUDURG,Sindhudurga,"Sindhudurg Oros, At Post - Oros, Kudal, Sindhudurga (Oros)",0942241694,Government,16.12019,73.689563
"Cottage Hospital Blood Bank, Sawantwadi",Maharashtra,SINDHUDURG,Sindhudurga,"Sub -District Cottage Hospital, Blood Bank, Sawantwadi, C-Sindhudurg",9822308943,Government,15.902781,73.823544
Dean Chatrapati Shivaji Maharaj Sarvopchar Hospital Blood Bank,Maharashtra,SOLAPUR,Solapur,"B-Block Ground Floor, Shri. Chatrapati Shivaji Maharaj Sarvopchar Hospital, Solapur, Maharashtra",0932559339,Government,17.659024,75.912826
